Les 387 ventes d'appartements d' Ermont (95) sur la période du 2017-07-01 au 2019-06-30 (Notaires de France - base de données PERVAL);;;;;;;;;
;;;;;;;;;
Montant;Surface;Nombre de pièces;Construction;Garage;DPE;GES;Etage;Cave;Terrasse / balcon
242 000 €;101 m²;5;1970 / 1980;Oui;-;-;3;Oui;Non
174 000 €;60 m²;3;1948 / 1969;Non;D;D;3;Oui;Non
192 000 €;66 m²;3;1981 / 1991;Oui;D;B;3;Oui;Oui
198 500 €;84 m²;4;1981 / 1991;Oui;D;C;4;Oui;-
204 750 €;82 m²;4;1981 / 1991;Oui;D;B;3;Non;Oui
183 500 €;76 m²;4;1981 / 1991;Oui;C;B;1;Non;-
142 000 €;47 m²;2;1981 / 1991;Non;F;C;5;Non;-
163 000 €;54 m²;3;1948 / 1969;Non;D;C;2;Oui;Non
95 000 €;82 m²;4;-;Non;-;-;2;Oui;Non
130 000 €;60 m²;3;1948 / 1969;Oui;-;-;0;Oui;Non
170 000 €;87 m²;5;1948 / 1969;Oui;-;-;1;Oui;-
170 000 €;67 m²;3;1981 / 1991;Oui;C;C;2;Oui;Oui
106 400 €;19 m²;1;1914 / 1947;Non;-;-;3;-;-
338 000 €;78 m²;3;2011 / 2020;Oui;B;C;3;Non;Oui
275 000 €;84 m²;4;1970 / 1980;Oui;F;G;4;Oui;Oui
119 000 €;54 m²;3;-;Non;-;-;0;Oui;Non
308 000 €;109 m²;5;1970 / 1980;Oui;C;D;1;Oui;Oui
203 500 €;76 m²;4;1981 / 1991;Oui;D;C;3;Non;Non
155 000 €;66 m²;4;1948 / 1969;Non;F;F;1;Oui;Non
208 000 €;90 m²;4;1981 / 1991;Oui;F;G;2;Oui;-
196 000 €;79 m²;4;1981 / 1991;Oui;D;E;0;Oui;Non
171 000 €;57 m²;2;-;Oui;F;D;0;Non;Non
210 000 €;78 m²;4;-;Oui;-;-;4;Oui;-
206 000 €;71 m²;3;1981 / 1991;Oui;C;D;3;Non;Oui
110 200 €;40 m²;1;-;Oui;E;D;0;Non;Non
256 000 €;88 m²;3;-;Oui;D;C;2;Non;Non
169 000 €;52 m²;2;1970 / 1980;Non;E;F;0;Oui;Non
128 000 €;55 m²;3;1948 / 1969;Non;-;-;1;Oui;Non
170 000 €;60 m²;3;1948 / 1969;Oui;E;F;0;Oui;Non
243 500 €;79 m²;5;1981 / 1991;Oui;D;B;2;Non;Non
694 830 €;190 m²;6;2011 / 2020;Oui;D;A;0;Non;Non
300 000 €;85 m²;4;2011 / 2020;Oui;B;C;3;Oui;Oui
135 800 €;31 m²;2;-;Non;-;-;3;Non;Non
173 000 €;57 m²;3;-;Oui;D;E;0;Oui;Non
445 000 €;98 m²;5;-;Oui;-;-;4;Non;Oui
145 000 €;66 m²;4;1948 / 1969;Oui;E;F;1;Oui;Non
278 000 €;59 m²;3;2001 / 2010;Oui;A;A;4;Non;Oui
98 000 €;27 m²;1;-;Non;D;E;-;Non;Oui
228 000 €;70 m²;3;-;Oui;C;D;0;Non;Oui
229 000 €;80 m²;4;-;Oui;D;B;3;Non;Non
275 000 €;93 m²;4;1981 / 1991;Non;E;C;0;Non;Non
