Les 342 ventes d'appartements de  Sannois (95) sur la période du 2017-07-01 au 2019-06-30 (Notaires de France - base de données PERVAL);;;;;;;;;
;;;;;;;;;
Montant;Surface;Nombre de pièces;Construction;Garage;DPE;GES;Etage;Cave;Terrasse / balcon
109 021 €;26 m²;1;2011 / 2020;Non;-;-;1;Non;Non
154 417 €;45 m²;2;2011 / 2020;Oui;-;-;4;Non;Oui
152 000 €;25 m²;1;2011 / 2020;Non;-;-;3;-;Oui
227 000 €;44 m²;2;2011 / 2020;Non;-;-;2;-;Oui
159 138 €;47 m²;2;2011 / 2020;Oui;-;-;3;Non;Oui
280 000 €;87 m²;4;1992 / 2000;Oui;D;B;3;Oui;Oui
145 500 €;73 m²;4;1948 / 1969;Oui;F;F;2;Oui;Non
175 000 €;70 m²;4;-;Oui;-;-;2;Oui;-
215 000 €;85 m²;4;1981 / 1991;Oui;D;E;3;Non;Oui
227 000 €;65 m²;4;1948 / 1969;Oui;E;E;3;Oui;Oui
212 000 €;61 m²;3;2001 / 2010;Oui;D;B;0;Non;Non
142 000 €;-;3;-;Oui;-;-;4;Oui;-
136 779 €;34 m²;1;2011 / 2020;Oui;-;-;3;Non;Oui
81 000 €;18 m²;1;-;Oui;-;-;0;Non;-
135 000 €;58 m²;2;1970 / 1980;Oui;F;C;1;Oui;-
130 500 €;48 m²;2;1948 / 1969;Oui;D;E;3;Non;Oui
175 000 €;63 m²;3;1970 / 1980;Oui;E;D;0;Oui;Non
172 000 €;46 m²;2;-;Oui;-;-;2;Non;Oui
167 000 €;83 m²;4;1970 / 1980;Oui;C;D;1;Non;Non
125 000 €;34 m²;2;-;Non;E;C;1;Non;Non
85 050 €;32 m²;1;-;Oui;D;C;0;Oui;-
162 000 €;66 m²;3;1981 / 1991;Oui;C;E;4;Oui;Non
135 000 €;48 m²;2;1970 / 1980;Oui;E;C;3;Oui;-
150 000 €;39 m²;1;-;-;D;E;1;Oui;Non
215 395 €;60 m²;3;2011 / 2020;Oui;-;-;0;Non;Oui
120 000 €;36 m²;2;-;Oui;E;E;3;Oui;Oui
225 000 €;76 m²;4;2001 / 2010;Oui;E;C;1;Non;Oui
162 500 €;58 m²;3;1981 / 1991;-;D;B;1;Non;Oui
160 000 €;62 m²;3;1948 / 1969;Non;E;D;12;Non;Oui
250 000 €;68 m²;3;-;Oui;-;-;3;Non;-
125 000 €;62 m²;3;1970 / 1980;Non;G;G;1;Oui;Non
230 869 €;66 m²;3;2011 / 2020;Oui;-;-;2;Non;Oui
218 032 €;60 m²;3;2011 / 2020;Oui;-;-;3;Non;Oui
184 000 €;42 m²;2;2011 / 2020;Oui;D;E;0;Non;Oui
133 318 €;48 m²;2;1970 / 1980;Oui;E;C;6;Oui;Non
232 100 €;64 m²;3;2011 / 2020;Oui;-;-;2;Non;Oui
195 000 €;67 m²;3;1970 / 1980;Oui;D;C;3;Oui;Oui
257 596 €;77 m²;4;2011 / 2020;Oui;-;-;0;Non;Oui
235 000 €;65 m²;3;1981 / 1991;Oui;-;-;1;Non;Oui
176 000 €;41 m²;2;2001 / 2010;Oui;D;B;1;Non;Non
296 035 €;118 m²;6;1970 / 1980;Oui;E;C;5;Oui;Oui
154 000 €;78 m²;3;1981 / 1991;Oui;D;E;1;Non;-
156 491 €;42 m²;2;2011 / 2020;Oui;-;-;3;Non;Oui
149 000 €;38 m²;2;1948 / 1969;Non;D;C;2;Oui;Non
166 607 €;45 m²;2;2011 / 2020;Oui;-;-;0;Non;Oui
230 355 €;52 m²;3;2011 / 2020;Oui;-;-;4;Non;Oui
187 550 €;65 m²;3;1981 / 1991;Oui;D;B;7;Oui;Oui
182 100 €;82 m²;4;-;Oui;-;-;1;Non;Non
187 000 €;61 m²;3;1948 / 1969;Oui;D;E;1;Oui;-
220 000 €;60 m²;2;1948 / 1969;Oui;-;-;0;Oui;-
219 500 €;87 m²;4;1981 / 1991;Oui;C;D;4;Oui;Oui
210 000 €;65 m²;3;-;Oui;D;B;1;Oui;-
222 000 €;67 m²;3;1981 / 1991;Oui;D;C;0;Oui;Non
107 790 €;27 m²;1;-;Oui;-;-;0;Oui;-
191 000 €;55 m²;2;-;Oui;-;-;0;Non;-
253 200 €;73 m²;4;-;Oui;-;-;1;Non;Oui
282 477 €;77 m²;4;-;Oui;-;-;2;Non;Oui
173 000 €;42 m²;2;-;Oui;-;-;2;Non;Non
135 000 €;70 m²;4;1948 / 1969;Oui;-;-;4;Oui;-
162 992 €;57 m²;2;-;Oui;-;-;4;Non;Oui
111 168 €;35 m²;1;-;Oui;-;-;1;Non;Oui
238 000 €;70 m²;3;1992 / 2000;Non;E;C;3;Non;Oui
200 000 €;50 m²;3;1914 / 1947;Non;-;-;3;Oui;-
154 740 €;46 m²;2;-;Oui;-;-;1;Non;Oui
158 680 €;43 m²;2;-;Oui;-;-;2;Non;Oui
189 000 €;65 m²;3;1970 / 1980;Oui;-;-;9;Oui;Oui
120 000 €;33 m²;2;1914 / 1947;Non;-;-;4;Oui;Non
225 000 €;67 m²;3;1970 / 1980;Oui;E;C;1;Oui;Oui
105 000 €;28 m²;1;1981 / 1991;Oui;D;A;2;Oui;-
195 000 €;91 m²;5;1981 / 1991;Oui;E;C;0;Oui;Non
180 000 €;61 m²;3;1948 / 1969;Non;F;G;4;Oui;Oui
337 000 €;94 m²;4;2001 / 2010;Oui;C;A;0;Oui;-
122 530 €;60 m²;3;-;Oui;-;-;0;Oui;Oui
235 000 €;87 m²;3;1970 / 1980;Oui;E;C;7;Oui;-
156 492 €;42 m²;2;2011 / 2020;Oui;-;-;2;Non;Oui
159 500 €;55 m²;3;1948 / 1969;Non;D;E;3;Oui;Oui
73 000 €;29 m²;1;1970 / 1980;Non;-;-;3;Oui;Non
166 550 €;47 m²;2;1948 / 1969;Oui;E;B;1;Oui;-
200 000 €;104 m²;5;1970 / 1980;Oui;D;E;0;Oui;Oui
230 000 €;74 m²;4;-;Oui;-;-;3;Oui;-
175 000 €;53 m²;3;1948 / 1969;Non;D;E;3;Oui;-
183 240 €;-;2;-;Oui;-;-;2;Non;Oui
153 000 €;69 m²;3;1970 / 1980;Non;C;D;1;Non;-
210 000 €;67 m²;3;2001 / 2010;Oui;D;B;3;Non;Oui
173 000 €;64 m²;3;1970 / 1980;Oui;E;F;0;Oui;-
155 000 €;65 m²;3;-;Oui;C;D;4;Oui;Oui
135 000 €;53 m²;2;1948 / 1969;Oui;D;E;2;Oui;Non
112 000 €;49 m²;2;1948 / 1969;Non;-;-;0;Oui;Non
220 671 €;62 m²;3;2011 / 2020;Oui;-;-;2;Non;Oui
140 000 €;55 m²;2;1970 / 1980;Oui;F;D;0;Oui;Oui
145 062 €;39 m²;2;2011 / 2020;Oui;-;-;1;Non;Oui
165 000 €;52 m²;3;1850 / 1913;Non;G;C;0;Oui;Non
152 535 €;42 m²;2;2011 / 2020;Oui;-;-;3;Non;Non
206 840 €;-;3;2011 / 2020;Oui;-;-;2;Non;Oui
136 000 €;36 m²;1;2001 / 2010;-;D;B;2;Non;Non
231 000 €;72 m²;4;2001 / 2010;Oui;D;E;1;Oui;-
248 804 €;65 m²;3;2011 / 2020;Oui;-;-;4;Non;Oui
142 000 €;74 m²;4;1948 / 1969;Oui;E;F;2;Oui;Non
243 529 €;64 m²;3;2011 / 2020;Oui;-;-;4;Non;Oui
190 000 €;64 m²;3;1970 / 1980;Oui;E;F;2;Oui;Oui
160 007 €;45 m²;2;-;Oui;-;-;1;Non;Oui
231 000 €;65 m²;3;-;Oui;-;-;0;Non;Oui
238 499 €;62 m²;3;-;Oui;-;-;4;Non;Oui
242 000 €;116 m²;6;-;Oui;D;E;5;Non;Oui
218 306 €;62 m²;3;2011 / 2020;Oui;-;-;0;Non;Oui
180 000 €;86 m²;5;1981 / 1991;Oui;-;-;2;Non;-
161 500 €;94 m²;5;-;Oui;-;-;0;Non;-
75 400 €;28 m²;1;1981 / 1991;Non;E;C;0;Non;-
160 000 €;53 m²;2;1948 / 1969;Non;E;C;0;Oui;Oui
167 800 €;66 m²;3;1948 / 1969;Oui;E;C;2;Non;-
121 500 €;34 m²;2;1914 / 1947;Oui;-;-;0;Non;-
140 000 €;79 m²;4;1970 / 1980;Oui;F;D;1;Non;Oui
270 000 €;80 m²;4;2001 / 2010;Oui;D;C;1;Non;Non
129 000 €;81 m²;4;-;Oui;-;-;0;Non;-
125 550 €;38 m²;2;1948 / 1969;Oui;D;E;2;Oui;-
225 000 €;81 m²;4;1981 / 1991;Oui;D;B;1;Oui;Non
163 000 €;67 m²;3;1970 / 1980;Oui;C;D;2;Non;Non
272 000 €;80 m²;4;-;Oui;D;B;4;Oui;Non
205 000 €;92 m²;4;1981 / 1991;Oui;D;E;1;Oui;Oui
150 000 €;83 m²;4;1970 / 1980;Oui;D;B;2;Non;Non
138 000 €;44 m²;3;1970 / 1980;Non;F;C;1;Non;Oui
170 000 €;63 m²;3;1948 / 1969;Non;D;E;4;Oui;-
183 000 €;55 m²;4;-;Oui;-;-;2;Oui;Non
154 000 €;62 m²;3;1970 / 1980;Oui;-;-;1;Oui;-
170 000 €;65 m²;3;1970 / 1980;Non;-;-;3;Non;Non
150 000 €;48 m²;3;1914 / 1947;-;D;E;1;Oui;-
97 000 €;29 m²;2;1948 / 1969;Non;E;F;0;Oui;Non
180 000 €;57 m²;4;1970 / 1980;Oui;D;F;0;Oui;Non
143 000 €;66 m²;3;-;Oui;D;G;1;Non;-
195 000 €;58 m²;3;1948 / 1969;Oui;D;B;1;Oui;Non
65 000 €;-;1;-;Non;-;-;0;Non;-
167 000 €;62 m²;3;1981 / 1991;Non;D;C;8;Oui;-
102 000 €;49 m²;2;-;Oui;D;E;2;Oui;-
141 000 €;56 m²;2;1914 / 1947;Non;B;C;2;Oui;-
122 600 €;69 m²;3;-;Oui;D;F;9;Non;Non
56 000 €;20 m²;1;-;Non;-;-;2;Non;Non
222 000 €;69 m²;3;-;Oui;E;E;2;Oui;Oui
193 729 €;70 m²;3;-;Oui;E;C;4;Oui;Oui
195 000 €;51 m²;2;1992 / 2000;Oui;G;D;3;Oui;Non
122 000 €;50 m²;2;-;Non;E;F;2;Non;-
155 400 €;70 m²;4;-;Oui;E;F;4;Oui;-
240 000 €;65 m²;3;-;Oui;E;C;5;Oui;Oui
