Les 1 577 ventes d'appartements d' Issy-les-Moulineaux (92) sur la période du 2017-07-01 au 2019-06-30 (Notaires de France - base de données PERVAL);;;;;;;;;
;;;;;;;;;
Montant;Surface;Nombre de pièces;Construction;Garage;DPE;GES;Etage;Cave;Terrasse / balcon
535 000 €;68 m²;3;-;Oui;-;-;0;Oui;Oui
320 000 €;65 m²;3;-;Oui;-;-;4;Oui;Oui
120 000 €;17 m²;1;-;Non;-;-;4;-;-
242 500 €;26 m²;1;2011 / 2020;Oui;-;-;2;Oui;Oui
340 000 €;47 m²;2;1992 / 2000;Oui;E;C;0;Oui;-
210 000 €;23 m²;1;2011 / 2020;Non;-;-;2;-;Oui
443 299 €;40 m²;2;2011 / 2020;Oui;-;-;3;Non;Oui
212 000 €;33 m²;2;1914 / 1947;Non;-;-;3;Oui;-
611 500 €;77 m²;4;2011 / 2020;Oui;D;B;2;Oui;Oui
825 000 €;77 m²;3;2001 / 2010;Non;-;-;6;Oui;Oui
347 000 €;28 m²;1;2011 / 2020;Oui;-;-;4;Non;Oui
330 999 €;32 m²;1;2011 / 2020;Oui;-;-;3;Non;Oui
511 000 €;68 m²;3;2011 / 2020;Oui;C;D;1;Oui;Oui
395 000 €;60 m²;3;1992 / 2000;Oui;-;-;0;Oui;-
353 030 €;89 m²;4;1992 / 2000;Oui;-;-;2;-;Oui
670 000 €;112 m²;4;-;-;-;-;0;Oui;-
446 400 €;53 m²;2;1914 / 1947;Non;D;D;5;Oui;-
665 500 €;86 m²;4;-;Oui;E;E;0;Oui;Non
530 000 €;62 m²;3;2011 / 2020;Oui;-;-;4;Oui;Oui
408 000 €;63 m²;3;2011 / 2020;Non;-;-;5;-;Oui
590 000 €;78 m²;4;1948 / 1969;Non;D;E;4;Oui;-
449 820 €;72 m²;3;1970 / 1980;Oui;C;D;3;Oui;Non
550 000 €;68 m²;3;2011 / 2020;Oui;B;C;3;Oui;Oui
450 000 €;50 m²;2;2001 / 2010;Oui;D;B;2;Oui;Oui
397 285 €;55 m²;3;-;-;-;-;3;Oui;Oui
117 563 €;52 m²;2;2001 / 2010;Oui;E;B;4;Oui;Oui
228 000 €;40 m²;3;-;Non;E;B;2;Oui;Non
256 500 €;28 m²;1;2011 / 2020;Oui;-;-;1;Oui;-
335 000 €;50 m²;3;-;Non;-;-;1;Oui;-
825 000 €;92 m²;4;2011 / 2020;Oui;-;-;0;Oui;Oui
695 000 €;0 m²;3;2011 / 2020;Oui;-;-;2;-;Oui
1 067 000 €;112 m²;4;1981 / 1991;Oui;C;B;1;-;Oui
931 000 €;103 m²;4;2011 / 2020;Oui;-;-;6;Oui;Oui
161 400 €;31 m²;1;-;Non;-;-;2;-;Oui
431 000 €;61 m²;3;1948 / 1969;Non;D;E;3;Oui;Oui
700 000 €;72 m²;3;2001 / 2010;Oui;E;C;7;Oui;Oui
710 000 €;88 m²;4;1992 / 2000;Oui;D;B;1;Oui;-
715 000 €;84 m²;4;1992 / 2000;Oui;D;B;4;Oui;Oui
102 000 €;14 m²;1;1948 / 1969;Non;-;-;0;-;-
650 000 €;47 m²;3;-;Non;D;E;2;-;Non
80 000 €;13 m²;0;1948 / 1969;Non;-;-;1;-;Non
824 000 €;98 m²;5;1970 / 1980;Oui;D;E;1;Oui;Oui
381 000 €;42 m²;2;2011 / 2020;Oui;-;-;2;Oui;Oui
200 000 €;31 m²;1;1970 / 1980;Oui;-;-;0;-;-
868 000 €;78 m²;3;2001 / 2010;Oui;-;-;-;Oui;-
383 000 €;42 m²;2;2011 / 2020;Oui;-;-;2;Oui;Oui
525 000 €;42 m²;3;-;-;D;E;1;-;-
245 000 €;40 m²;1;-;Non;-;-;0;Oui;-
472 650 €;53 m²;3;-;Oui;-;-;0;Oui;Oui
333 500 €;47 m²;3;-;Non;D;E;1;Oui;Non
242 500 €;27 m²;1;1970 / 1980;Oui;E;F;4;Oui;Oui
625 000 €;84 m²;5;1970 / 1980;-;-;-;5;Oui;-
208 855 €;24 m²;1;-;Oui;E;C;0;Oui;Oui
381 200 €;56 m²;4;1914 / 1947;Non;D;E;6;Oui;-
221 129 €;33 m²;2;2001 / 2010;Non;-;-;1;-;-
393 600 €;42 m²;2;2011 / 2020;Oui;-;-;4;Oui;Oui
151 200 €;31 m²;1;-;Non;-;-;1;Non;Non
223 329 €;51 m²;2;1992 / 2000;Oui;D;B;2;-;Non
537 990 €;68 m²;4;1948 / 1969;Non;D;E;2;Oui;Oui
580 050 €;70 m²;3;-;Oui;E;C;3;Oui;Oui
531 999 €;66 m²;3;2011 / 2020;Non;-;-;3;-;Oui
391 000 €;61 m²;4;-;Oui;-;-;3;Oui;-
517 500 €;67 m²;3;1992 / 2000;Oui;-;-;1;Oui;Oui
465 000 €;60 m²;3;-;Non;-;-;-;Oui;-
164 000 €;33 m²;1;-;Oui;-;-;12;Oui;-
214 400 €;31 m²;1;1992 / 2000;Oui;E;C;0;Oui;-
545 000 €;64 m²;3;2011 / 2020;Non;-;-;5;-;Oui
275 000 €;27 m²;1;2011 / 2020;Non;-;-;6;-;Oui
310 000 €;53 m²;2;1992 / 2000;Non;-;-;0;Oui;Oui
179 000 €;20 m²;1;2001 / 2010;Oui;D;B;2;-;Oui
585 000 €;94 m²;4;-;Oui;D;B;1;Oui;Oui
512 000 €;60 m²;3;-;Oui;E;E;3;Oui;Oui
567 284 €;68 m²;3;2011 / 2020;Oui;A;C;4;-;Oui
242 000 €;27 m²;1;2001 / 2010;Oui;-;-;4;-;Non
267 000 €;0 m²;2;-;-;-;-;0;-;-
420 000 €;55 m²;3;-;Non;C;C;1;Oui;-
672 000 €;80 m²;5;-;Oui;-;-;9;Non;Oui
103 000 €;19 m²;1;-;Oui;D;C;7;-;Oui
